type, name, country, latitude, longitude, elevation, population
city, Columbia, US, 38.95171, -92.33407, 219, 108500
city, East Independence, US, 39.09556, -94.35523, 262, 110675
city, Independence, US, 39.09112, -94.41551, 319, 116830
city, Kansas City, US, 39.09973, -94.57857, 290, 459787
city, St. Louis, US, 38.62727, -90.19789, 149, 319294
city, Springfield, US, 37.21533, -93.29824, 399, 159498
city, Jackson, US, 32.29876, -90.18481, 100, 173514
city, Cary, US, 35.79154, -78.78112, 152, 135234
city, Charlotte, US, 35.22709, -80.84313, 272, 731424
city, Durham, US, 35.99403, -78.89862, 121, 228330
city, Fayetteville, US, 35.05266, -78.87836, 33, 200564
city, Greensboro, US, 36.07264, -79.79198, 260, 269666
city, High Point, US, 35.95569, -80.00532, 289, 104371
city, Raleigh, US, 35.7721, -78.63861, 99, 403892
city, West Raleigh, US, 35.78682, -78.66389, 124, 338759
city, Wilmington, US, 34.22573, -77.94471, 14, 106476
city, Winston-Salem, US, 36.09986, -80.24422, 283, 229617
city, Cincinnati, US, 39.162, -84.45689, 192, 296943
city, Columbus, US, 39.96118, -82.99879, 242, 787033
city, Dayton, US, 39.75895, -84.19161, 237, 141527
city, Norman, US, 35.22257, -97.43948, 361, 110925
city, Oklahoma City, US, 35.46756, -97.51643, 395, 579999
city, Tulsa, US, 36.15398, -95.99278, 226, 391906
city, Philadelphia, US, 39.95234, -75.16379, 40, 1526006
city, Charleston, US, 32.77657, -79.93092, 13, 120083
city, Columbia, US, 34.00071, -81.03481, 97, 129272
city, Chattanooga, US, 35.04563, -85.30968, 208, 167674
city, Clarksville, US, 36.52977, -87.35945, 145, 132929
city, East Chattanooga, US, 35.06535, -85.24912, 208, 154024
city, Knoxville, US, 35.96064, -83.92074, 277, 178874
city, Memphis, US, 35.14953, -90.04898, 84, 646889
city, Murfreesboro, US, 35.84562, -86.39027, 191, 108755
city, Nashville, US, 36.16589, -86.78444, 171, 530852
city, New South Memphis, US, 35.08676, -90.05676, 79, 641608
city, Abilene, US, 32.44874, -99.73314, 525, 117063
city, Arlington, US, 32.73569, -97.10807, 190, 365438
city, Austin, US, 30.26715, -97.74306, 165, 790390
city, Beaumont, US, 30.08605, -94.10185, 12, 118296
city, Brownsville, US, 25.90175, -97.49748, 17, 175023
city, Carrollton, US, 32.95373, -96.89028, 163, 119097
city, Corpus Christi, US, 27.80058, -97.39638, 8, 305215
city, Dallas, US, 32.78306, -96.80667, 139, 1197816
city, Denton, US, 33.21484, -97.13307, 206, 113383
city, Fort Worth, US, 32.72541, -97.32085, 203, 741206
city, Frisco, US, 33.15067, -96.82361, 216, 116989
city, Garland, US, 32.91262, -96.63888, 174, 226876
city, Grand Prairie, US, 32.74596, -96.99778, 162, 175396
city, Houston, US, 29.76328, -95.36327, 30, 2099451
city, Irving, US, 32.81402, -96.94889, 151, 216290
city, Killeen, US, 31.11712, -97.7278, 254, 127921
city, Laredo, US, 27.50641, -99.50754, 132, 236091
city, McAllen, US, 26.20341, -98.23001, 42, 129877
city, McKinney, US, 33.19762, -96.61527, 197, 131117
city, Mesquite, US, 32.7668, -96.59916, 155, 139824
city, Pasadena, US, 29.69106, -95.2091, 12, 149043
city, Plano, US, 33.01984, -96.69889, 207, 259841
city, San Antonio, US, 29.42412, -98.49363, 202, 1327407
city, Waco, US, 31.54933, -97.14667, 147, 124805
city, Wichita Falls, US, 33.91371, -98.49339, 296, 104553
city, Alexandria, US, 38.80484, -77.04692, 15, 139966
city, Arlington, US, 38.88101, -77.10428, 83, 207627
