name,iata,type,latitude,longitude
Zurich Int'l,ZRH,major,47.45238950649155,8.562212795347646
Gosselies,CRL,mid,50.45712965495668,4.454373629816502
Munich Freight Terminal,MUCf,major,48.349796407837665,11.769482859365427
Barcelona,BCN,major,41.30315527974634,2.078003349812917
Ruzyn,PRG,major,50.10765117036714,14.267484985407632
Hong Kong Int'l,HKG,major,22.315332828086753,113.93501638737635
Taoyuan,TPE,major,25.076741104334637,121.23137045332327
Schiphol,AMS,major,52.30893238898217,4.764376932328117
Singapore Changi,SIN,major,1.3561608352812635,103.98641388099333
London Heathrow,LHR,major,51.47099587999384,-0.4531566520633094
Auckland Int'l,AKL,major,-37.00635511428146,174.79171943371517
Anchorage Int'l,ANC,major,61.17289367453669,-149.9817251006328
Hartsfield-Jackson Atlanta Int'l,ATL,major,33.64052908073521,-84.42539743360473
Beijing Capital,PEK,major,40.07876633633102,116.58817400466103
Eldorado Int'l,BOG,major,4.69883276192097,-74.14337180010278
Chhatrapati Shivaji Int'l,BOM,major,19.095101948840245,72.87456395000508
Gen E L Logan Int'l,BOS,major,42.366565819850564,-71.01640661729584
Baltimore-Washington Int'l Thurgood Marshall,BWI,major,39.17939435835678,-76.66864283524481
Cairo Int'l,CAI,major,30.11199043855749,31.39974300671137
Casablanca-Anfa,CAS,mid,33.56278838510788,-7.663218807711428
Simon Bolivar Int'l,CCS,mid,10.597354914606406,-67.00574880763165
Cape Town Int'l,CPT,major,-33.97044661203954,18.597656508313793
Chengdushuang Liu,CTU,major,30.581071264746427,103.95613648169501
Indira Gandhi Int'l,DEL,major,28.559203976058605,77.0878362565332
Denver Int'l,DEN,major,39.84946138815095,-104.67379733854197
Dallas-Ft. Worth Int'l,DFW,major,32.90015055948155,-97.04037107411442
Don Muang Int'l,DMK,major,13.920276601034733,100.60257862650514
Dubai Int'l,DXB,major,25.25256559381816,55.35407691722429
Newark Int'l,EWR,major,40.69047982789292,-74.1771472796706
Ministro Pistarini Int'l,EZE,major,-34.81364693803232,-58.54124569393822
Fort Lauderdale Hollywood Int'l,FLL,major,26.07170957468273,-80.14525884651891
George Bush Intercontinental,IAH,major,29.9865909034907,-95.33370479129466
Ataturk Hava Limani,IST,major,40.977838817779705,28.8195493087893
OR Tambo Int'l,JNB,major,-26.13209539948872,28.23198856487408
Juneau Int'l,JNU,mid,58.358944104595075,-134.5835730378724
Los Angeles Int'l,LAX,major,33.94417425435857,-118.40246854852198
Linate,LIN,major,45.46039384562522,9.279966296910612
Melbourne Int'l,MEL,major,-37.66994119678927,144.84899809113125
Lic Benito Juarez Int'l,MEX,major,19.435469572049442,-99.08260795142392
Ninoy Aquino Int'l,MNL,major,14.506832376296721,121.00412208343747
Jomo Kenyatta Int'l,NBO,major,-1.330529643506341,36.92508874903655
Honolulu Int'l,HNL,major,21.33202231502399,-157.91978317375475
Chicago O'Hare Int'l,ORD,major,41.97652910238031,-87.90513439065003
King Khalid Int'l,RUH,major,24.959031743651174,46.701829023464015
Arturo Merino Benitez Int'l,SCL,major,-33.396833634259714,-70.79368601629741
Tacoma Int'l,SEA,major,47.44358191272591,-122.30228972292387
San Francisco Int'l,SFO,major,37.61702508680535,-122.38347034444935
Hongqiao,SHA,major,31.187257431407843,121.34118378856714
Sheremtyevo,SVO,major,55.96644717251199,37.41596903484135
Toronto-Pearson Int'l,YYZ,major,43.68095951863564,-79.61141932474486
Kingsford Smith,SYD,major,-33.936583205771655,151.16606730560102
Helsinki Vantaa,HEL,major,60.31871589129821,24.968207866591406
Charles de Gaulle Int'l,CDG,major,49.01442009693855,2.5418677673945727
Berlin-Tegel Int'l,TXL,major,52.55442870441009,13.2903090925074
Vienna Schwechat Int'l,VIE,major,48.119756305253766,16.560767964212864
Frankfurt Int'l,FRA,major,50.05067708952074,8.571822869076076
Leonardo da Vinci Int'l,FCO,major,41.795078630739425,12.250100897363827
Osaka Int'l,ITM,major,34.790198084874866,135.4424752562494
Gimpo Int'l,GMP,major,37.55730053995078,126.80239286027584
Oslo Gardermoen,OSL,major,60.193578317138616,11.099103276258118
Juscelino Kubitschek Int'l,BSB,major,-15.869998500282428,-47.92078851336254
Congonhas Int'l,CGH,major,-23.626858827009997,-46.659115530219566
Rio de Janeiro-Antonio Carlos Jobim Int'l,GIG,major,-22.812343712500642,-43.248381379068306
Madrid Barajas,MAD,major,40.46812827339225,-3.569026654588628
Luis Munoz Marin,SJU,major,18.43807707349493,-66.00422997575475
Arlanda,ARN,major,59.65112033973721,17.930729901691585
Soekarno-Hatta Int'l,CGK,major,-6.126602955972902,106.65429615117164
Eleftherios Venizelos Int'l,ATH,major,37.93623312992537,23.94711605540731
