name,iata,type,latitude,longitude
Bassel Al-Assad Int'l,LTK,major,35.407311459674354,35.944240709666296
London Luton,LTN,major,51.8802952570969,-0.3762272673974393
Svalbard Longyear,LYR,mid,78.246717,15.495229
Sangster Int'l,MBJ,mid,18.501154929824885,-77.91839076357516
Mandalay Int'l,MDL,mid,21.705549068027405,95.97065359502169
Chicago Midway Int'l,MDW,major,41.78834925974092,-87.74212668856121
Eloy Alfaro Int'l,MEC,mid and military,-0.9495570021128831,-80.68338459957742
Montgomery Reg.,MGM,major,32.304587990963064,-86.39030746026862
Manchester-Boston Reg.,MHT,major,42.92791399458855,-71.43752390918567
Maiduguri Int'l,MIU,mid,11.853471318852687,13.085139016247085
Mbuji Mayi,MJM,mid,-6.1248454134881145,23.572109198905228
Minot Int'l,MOT,mid,48.25560492128391,-101.29138553129988
Missoula Int'l,MSO,mid,46.91876047688307,-114.08369492365063
Gen R.S. Taboada Int'l,MXL,mid,32.628564332460684,-115.24787404784124
Malpensa,MXP,major,45.62744051403809,8.712959535024368
Norfolk Island,NLK,mid,-29.035159255527493,167.94339411620473
Nurnberg,NUE,major,49.49450521703445,11.077417973909556
Odessa Int'l,ODS,major,46.44062687591064,30.676830831020588
Gold Coast,OOL,mid,-28.166516854020163,153.5128762643033
Oran Es Senia,ORN,mid,35.62027473127345,-0.6067969644311196
Lok Nayak Jaiprakash,PAT,mid,25.594443429560453,85.09090213146632
Paysandu,PDU,mid,-32.36145452927226,-58.0685346825257
Paphos Int'l,PFO,major,34.71340128173351,32.483232206492644
Sultan Mahmud Badaruddin II,PLM,mid,-2.899993450059967,104.69912832676162
Polokwane Int'l,PTG,mid,-23.858986270165953,29.45334036456435
Punta Cana,PUJ,mid,18.56303903398704,-68.3632351074649
Queretaro Int'l,QRO,mid,20.62246607127796,-100.18735943002979
Rajkot,RAJ,mid,22.309281698836052,70.7799548311565
Richmond Int'l,RIC,major,37.50828997509012,-77.33311963811302
Shah Makhdum,RJH,mid,24.44480686230351,88.61380457044305
Greater Rochester Int'l,ROC,major,43.127551982648235,-77.66524450621966
Rockhampton,ROK,mid,-23.378599,150.478897
Rostov-on-Don,ROV,mid,47.255111951975394,39.80351444453908
Saratov,RTW,mid,51.560645650884204,46.03502324989101
Ramon Villeda Morales Int'l,SAP,mid,15.455863052488276,-87.92723651254093
Santa Barbara Muni.,SBA,mid,34.42573129787832,-119.83660158079981
Deadhorse,SCC,mid,70.19751,-148.457855
Kangerlussuaq,SFJ,mid,67.018097,-50.694199
Springfield Reg.,SGF,major,37.24214449030243,-93.3826379012003
Shreveport Reg.,SHV,major,32.45457988665127,-93.82852222295027
Simferopol Int'l,SIP,major,45.020217397816495,33.99605292445367
Sitka Rocky Gutierrez,SIT,mid,57.05349,-135.365692
Los Cabos Int'l,SJD,major,23.162657448359653,-109.71785838690921
McNary Field,SLE,major,44.91051384521425,-123.00787147940393
Plan de Guadalupe,SLW,mid,25.54799764199738,-100.93226054858748
Shannon,SNN,major,52.693453710253166,-8.922428855576857
Santo Pekoa Int'l,SON,mid,-15.505538737085832,167.22089491937467
Achmad Yani,SRG,mid,-6.978734849569817,110.37855625566573
Srinagar,SXR,military mid,33.98309094316232,74.78262436723114
Tapachula Int'l,TAP,mid,14.791128133877267,-92.370003
Podgorica,TGD,major,42.367933519542824,19.246686861887266
Tallahassee Reg.,TLH,major,30.395557617693783,-84.34499539848576
Turin Int'l,TRN,major,45.19166007346417,7.644162303621328
Taiyuan Wusu Int'l,TYN,major,37.754511779151215,112.62589153931525
Narsarsuaq,UAK,mid,61.16259683373283,-45.41640089231083
Rayong,UTP,military mid,12.685293091266386,101.00020929048034
Victoria Falls,VFA,mid,-18.099015598368197,25.846767720882564
Vijaywada,VGA,mid,16.528642778235014,80.7973080000675
Varanasi,VNS,mid,25.449907732982243,82.85387419135274
Juan Gualberto Gomez,VRA,major,23.039542233963147,-81.43671038506231
Villahermosa,VSA,mid,17.993066011311075,-92.81906758362618
Brandon,YBR,mid,49.904727941027694,-99.94589590024634
CFB Edmonton,YED,military major,53.67491566186677,-113.47883905449686
Iqaluit,YFB,mid,63.751152353780704,-68.53672924418116
John C. Munro Hamilton Int'l,YHM,mid,43.16336053050961,-79.92642309599673
Fort McMurray,YMM,mid,56.65631713909619,-111.22384004661691
Yantai,YNT,major and military,37.407704472692394,121.37204741777312
Peace River,YPE,mid,56.231924036744985,-117.4436632080815
Greater Moncton Int'l,YQM,mid,46.11620596392595,-64.68866968073613
Sydney/J.A. Douglas McCurdy,YQY,mid,46.16734058905036,-60.04693721170264
Resolute Bay,YRB,mid,74.71818609875942,-94.97080232440061
Fort Smith,YSM,mid,60.01987496024426,-111.96105993815773
Thompson,YTH,mid,55.797482,-97.860733
Timmins,YTS,mid,48.566158,-81.372047
Repulse Bay,YUT,mid,66.533302,-86.25
Kuujjuaq,YVP,mid,58.101959,-68.433342
Wabush,YWK,mid,52.926071,-66.873009
Edmonton City Centre,YXD,mid,53.57094365828116,-113.52297368858079
Fort St. John (N. Peace),YXJ,mid,56.246035,-120.736439
North Bay/Jack Garland,YYB,mid,46.358711,-79.42491
Zaria,ZAR,mid,11.135295860107082,7.687267643105769
Skopje,SKP,mid,41.95645460815443,21.62819718582291
Burnpur,"",mid,23.631217910776442,86.97454677657299
Hindon Air Force Station,"",mid,28.70779686010708,77.35078887791173
Sunchon,"",major,39.411965971056546,125.89082505748561
Lodz Wladyslaw Reymont,LCJ,mid,51.727207045169955,19.403214874403695
Alma Ata N.W.,BXJ,mid and military,43.355419083791865,76.87826400966476
Jiamusi Dongjiao,JMU,mid,46.843015022337944,130.4562047044068
Mudanjiang Hailang,MDG,major,44.53429362999352,129.5801515322203
Severomorsk-3 (Murmansk N.E.),"",military major,69.0168711826804,33.29035276162853
Mosul Int'l,OSB,mid,36.308601,43.145802
Rostov N.,"",military mid,47.277420920286694,39.635399634366465
Rostov S.W.,"",mid,47.1158577255835,39.797221534514875
Oulu,OUL,mid,64.92879923588488,25.372837470430696
Bordeaux,BOD,major,44.832110866267385,-0.7017934490752431
Mandelieu,CEQ,mid,43.54609798704497,6.954316120289373
St Gatien,DOL,mid,49.361660998660916,0.158653528230218
Lille-Lesquin,LIL,mid,50.57164239295806,3.1059649979981345
Toulouse-Blagnac,TLS,major,43.63046256616009,1.3735091855115267
Fukuoka,FUK,major,33.58481643325734,130.44418954188373
Hiroshima-Nishi,HIW,mid,34.37138156288289,132.419372741681
Nagoya,NKM,mid,35.254053205286695,136.9196283841399
Sendai,SDJ,mid,38.138207561528674,140.93024738136907
Kirkenes Hoybuktmoen,KKN,mid,69.72383181136918,29.891348950040616
Marechal Rondon Int'l,CGB,mid,-15.651147019195495,-56.120177475472424
Hercilio Luz Int'l,FLN,major,-27.664627694163833,-48.544812204959904
Joinville-Lauro C. de Loyola,JOI,mid,-26.224294137478456,-48.80164981656161
Presidente Castro Pinto Int'l,JPA,mid,-7.146174624020474,-34.9488925911125
Augusto Severo Int'l,NAT,major,-5.899120544771162,-35.24884101653892
Francisco Sa Carneiro,OPO,major,41.23687089204524,-8.671272407196472
Marechal Cunha Machado Int'l,SLZ,mid,-2.5835092104301847,-44.236234470049205
Santos Air Force Base,SSZ,military mid,-23.9237590410637,-46.30527049310029
Teresina-Senador Petronio Portella,THE,mid,-5.06346299167191,-42.82124023178447
Viracopos-Campinas Int'l,VCP,mid,-23.00962390853391,-47.141079191101426
Eurico de Aguiar Salles,VIX,mid,-20.25741627594185,-40.28853687599133
Alicante,ALC,major,38.286640899392886,-0.5572304403635879
Almeria,LEI,mid,36.84776727096432,-2.371601440591205
Valencia,VLC,mid,39.49145978844889,-0.4734749307716761
Kiruna_Airport,KRN,mid,67.8256066056432,20.335152295489802
Norrkoping Airport,NRK,major,58.583380501754064,16.23394076958144
Husein Sastranegara Int'l,BDO,mid,-6.900424083534088,107.57561185220892
Rosario – Islas Malvinas Int'l,ROS,mid,-32.91622697438119,-60.78007872165863
Maceio/Zumbi dos Palmares Int'l,MCZ,mid,-9.514941185401165,-35.79249512158329
Sharm el-Sheikh Int'l,SSH,mid,27.980404419916844,34.39011892672875
Taba Int'l,TCP,mid,29.594499056801894,34.775837899677896
Agra,AGR,major and military,27.157727734749972,77.96090917650903
Vadodara,BDQ,mid,22.33616400211708,73.2262889533239
Shahid Ashrafi Esfahani,KSH,mid,34.34641677391081,47.156583516563856
Benina Int'l,BEN,mid,32.08727746065531,20.268039801851568
King Abdulaziz Ab,DHA,military major,26.270368085476772,50.1477245727844
Nueva Hesperides Int'l,STY,mid,-31.437388338779797,-57.98408211764924
