name,latitude,longitude
Laem Chabang,13.07388889,100.8909305
Sriracha,13.17138889,100.9186101
Point Lisas,10.38833333,-61.48951708
Mersin,36.79694444,34.64057715
Berdyansk,46.75138889,36.77320377
Kerch,45.355,36.48563015
Richmond,37.91388889,-122.3590106
Wilmington,39.71666667,-75.51984688
Quincy,42.24138889,-70.96896349
Nawiliwili,21.95388889,-159.3530035
Monterey,36.60555556,-121.888987
Wilmington,34.19194444,-77.95265018
Gloucester City,39.90361111,-75.12267373
Bayonne,40.6625,-74.1024735
Baltimore,39.2325,-76.55565371
Jacksonville,30.38083333,-81.55918728
Newport News,36.98055556,-76.4262073
Port Arthur,29.84305556,-93.95706714
Portsmouth,36.81666667,-76.28828033
Wilmington,34.19194444,-77.95265018
Port Arthur,29.84305556,-93.95706714
Alexandria,38.80111111,-77.03722026
Newport News,36.98055556,-76.4262073
Brownsville,47.65138889,-122.6086572
Vancouver,45.63472222,-122.7038869
Guanta,10.24916667,-64.59040047
Keelung,25.220760141757456,121.72583696694346
Arrecife,28.948964844057482,-13.623954376704255
St Thomas,18.332123222010704,-64.92841530036452
Basseterre,17.27882702118545,-62.750002499299285
New Orleans,29.93419996813862,-90.05637124381114
Freeport,26.5384106344139,-78.72766361581795
Trenton,44.1,-77.56
Goderich,43.75,-81.73
Midland,44.75,-79.91
St Joseph,42.11,-86.48
Racine,42.73,-87.78
Menominee,45.1,-87.6
Escanaba,45.76,-87.05
Sacramento,38.58,-121.5
Great Yarmouth,52.61,1.73
Dundee,56.46,-2.96
Portmahomack Harbor,57.83,-3.83
Wick,58.43,-3.08
Oban,56.41,-5.46
Douglas,54.15,-4.46
Londonderry,55.0,-7.31
Silloth,54.86,-3.4
Ambriz,-7.833055556,13.09375736
Cabinda,-5.55,12.19022379
Soyo,-6.121388889,12.32037691
Durres,41.30777778,19.45300353
Curacao,12.11916667,-68.91825677
Al Fujayrah,25.17833333,56.3565371
Caleta Olivia,-46.43305556,-67.50848057
Puerto Deseado,-47.75555556,-65.9040636
Rio Gallegos,-51.61166667,-69.21825677
Rio Grande,-53.79444444,-67.7024735
San Julian,-49.29972222,-67.71896349
Coffs Harbour,-30.3075,153.1414605
Esperance,-33.87194444,121.893404
Port Augusta,-32.48861111,137.7567138
Bowen,-20.02083333,148.25053
Bundaberg,-24.76722222,152.388457
Burketown,-17.55361111,139.737927
Carnarvon,-24.895,113.642874
Cooktown,-15.45972222,145.2437574
Derby,-17.29222222,123.6051237
Eden,-37.07194444,149.9053004
George Town,-41.10972222,146.8202002
Geraldton,-28.77277778,114.6007067
Karumba,-17.48944444,140.8333333
Kingscote,-35.655,137.6395171
Maryborough,-25.295,152.9060071
Strahan,-42.15833333,145.3205536
Mongla,22.48694444,89.58598351
Aracaju,-10.92527778,-37.03951708
Fortaleza,-3.7175,-38.52143698
Macapa,0.032222222,-51.04269729
Navegantes,-26.89888889,-48.65424028
Pelotas,-31.78194444,-52.3237338
Campbell River,50.03194444,-125.2386337
Goose Bay,53.38444444,-60.34234393
Masset,54.00666667,-132.1411072
Matane,48.84194444,-67.57126031
Nanisivik,73.06861111,-84.54305065
New Richmond,48.13861111,-65.83492344
Port Hardy,50.72111111,-127.4836867
Port Hawkesbury,45.61,-61.35565371
Squamish,49.68305556,-123.1666667
Stephenville,48.53527778,-58.54075383
Stewart,55.92861111,-129.9895171
Tahsis,49.9175,-126.6540636
Sandspit,53.25527778,-131.8196702
Tuktoyaktuk,69.43138889,-132.9858068
Ancud,-41.86861111,-73.82567727
Castro,-42.48277778,-73.76684335
Chanaral,-26.35055556,-70.6343934
Puerto Natales,-51.73111111,-72.50936396
Taltal,-25.39722222,-70.48457008
Guangzhou,22.64027778,113.6710836
Jiangyin,31.93194444,120.2212603
Lianyungang,34.74527778,119.4084806
Sanya,18.23972222,109.50053
Zhanjiang,21.16972222,110.4063604
Zhoushan,30.00333333,122.1026502
San-Pedro,4.743055556,-6.617020024
Cartagena,10.40333333,-75.52567727
Tolu,9.520277778,-75.5852768
Tumaco,1.813055556,-78.75954064
Turbo,8.087777778,-76.73386337
Baracoa,20.35305556,-74.50229682
Nicaro,20.71333333,-75.55088339
Nueva Gerona,21.90333333,-82.79322733
Helgoland,54.1775,7.891283863
Travemunde,53.95222222,10.86825677
Thisted,56.95277778,8.692167256
Manta,-0.935555556,-80.72090695
Esmeraldas,0.989444444,-79.64269729
Corralejo,28.74138889,-13.85883392
Ceuta,35.89027778,-5.310424028
Melilla,35.28,-2.922850412
San Sebastian de la Gomera,28.08805556,-17.10512367
Santa Cruz de La Palma,28.67583333,-17.76666667
Parnu,58.38111111,24.4746172
Kuopio,62.88833333,27.68987044
Joensuu,62.60444444,29.77709069
Varkaus,62.3125,27.87479388
Savusavu,-16.81777778,179.309364
Cherbourg,49.64638889,-1.620376914
Caen,49.19055556,-0.326383981
Calvi,42.56583333,8.755300353
Propriano,41.67694444,8.900353357
Quimper,47.98944444,-4.108127208
Vannes,47.64388889,-2.756360424
Yap,9.513333333,138.1194935
Bristol,51.49888889,-2.707773852
Hull,53.74361111,-0.285100118
Newcastle upon Tyne,54.965,-1.590930506
Tyne,54.99444444,-1.440930506
Rochester,51.43472222,0.685806832
Tema,5.631944444,0.007420495
Alexandroupolis,40.84138889,25.88916372
Kos,36.89444444,27.28987044
Paros,37.08777778,25.15070671
Samos,37.75444444,26.96666667
Nanortalik,60.13972222,-45.23810365
Qaanaaq,77.46694444,-69.23510012
New Amsterdam,6.237777778,-57.52179034
La Ceiba,15.79388889,-86.75689046
Tela,15.78388889,-87.45583039
Mali Losinj,44.53833333,14.45759717
Jacmel,18.23166667,-72.53598351
Jeremie,18.64361111,-74.10706714
Sorong,-1.3075,131.0203769
Lhokseumawe,5.166666667,97.14287397
Nunukan,4.145555556,117.654947
Panjang,-5.460277778,105.3070671
Tanjung Priok,-6.101388889,106.8904005
Mangalore,12.92694444,74.80742049
Porbandar,21.63944444,69.58739694
