name,elevation,latitude,longitude
Musala,2925,42.17972222,23.58666667
Kuh-e Safed Khers HP,5326,38.09333333,71.09500000
Mt. Aspiring,3033,-44.38333333,168.73333333
Hung-Wang Shan HP,4330,26.14916667,102.91333333
Mogote Corralitos,3160,-31.31583333,-67.92333333
Skihist Mtn.,2968,50.18777778,-121.90333333
Mt. Elgon,4321,1.11833333,34.52500000
Masherbrum,7821,35.64000000,76.30583333
Mt. Hubbard,4557,60.31888889,-139.07277778
Cerro Tristeza,2596,10.08416667,-63.95833333
Psiloritis,2456,35.22666667,24.77250000
Pico Naiguata,2765,10.54333333,-66.78250000
Gora Bazardyuzi,4466,41.22166667,47.85833333
Nevado Illimani,6438,-16.63333333,-67.79083333
Mayon Volcano,2462,13.25583333,123.68583333
Gunung Dempo,3159,-4.01583333,103.12833333
Bairiga,6882,29.16583333,96.72416667
Pik Pobeda,3003,65.17555556,146.00750000
Kuh-e Chuk Shakh,5467,36.77833333,71.45166667
Mt. Katanglad,2938,8.11583333,124.92333333
Annapurna II,7937,28.53333333,84.12166667
Gunung Merbabu,3145,-7.45500000,110.44000000
Mt. Ratz,3090,57.39305556,-132.30305556
Canlaon Mtn.,2430,10.41000000,123.13000000
Mt. Chamberlin,2749,69.27694444,-144.91166667
Nevado Sajama,6542,-18.10833333,-68.88333333
Pangrango,3019,-6.76916667,106.96500000
Grossglockner,3798,47.07416667,12.69444444
Roque de los Muchachos,2423,28.75472222,-17.88500000
Erciyes Dagi,3917,38.53500000,35.45083333
Mt. Odin,2970,50.55166667,-118.13000000
Nun,7135,33.98000000,76.02166667
Mt. Monashee,3274,52.38527778,-118.94000000
Jebel Katarina,2629,28.51166667,33.95250000
Cotopaxi,5896,-0.68083333,-78.43833333
Kuh-e Zendan,3503,28.07583333,60.01083333
Iliamna Volcano,3053,60.03194444,-153.09027778
Pik Abu Ali Ibn Sino,6940,38.51000000,72.35416667
Dhaulagiri II,7751,28.76250000,83.38916667
Qornet es Saouda,3087,34.30083333,36.11666667
Thabana Ntlenyana,3482,-29.46833333,29.26916667
Mt. Olympus,2429,47.80138889,-123.71083333
Mt. Columbia,3741,52.14722222,-117.44138889
Makalu,8485,27.89000000,87.08833333
Galdhøpiggen,2469,61.63666667,8.31500000
Poco Mandasawu,2370,-8.65166667,120.44833333
Kertau,3282,45.74250000,82.75750000
Le Kartala,2361,-11.75666667,43.36166667
Mt. Queen Bess,3298,51.27166667,-124.56833333
Olympos Oros,2919,40.08277778,22.35111111
Mt. Miller,4160,-83.33333333,165.80000000
Jargalant Hayrhan,3796,47.68750000,92.56333333
Gora Kazbek,5034,42.69916667,44.51833333
Gerlach,2655,49.16416667,20.13583333
Yangra Kangri,7422,28.39250000,85.13000000
Gora Khurumdy,6610,39.45500000,73.56666667
Mt. Cook,4196,60.18638889,-139.97694444
Ponta do Pico,2351,38.46888889,-28.39888889
Mt. Hood,3426,45.37361111,-121.69583333
Volcan Llullaillaco,6739,-24.72000000,-68.53666667
Profitis Ilias,2404,36.95388889,22.35222222
Mt. Sanford,4949,62.21361111,-144.13111111
Nayramadlin Orgil,4374,49.14583333,87.81916667
Hans Meyer Range,2340,-4.40083333,152.93833333
Cho Oyu,8188,28.09666667,86.66000000
Alaid V.,2339,50.86083333,155.56416667
Tekilik Shan,5470,36.52166667,80.31500000
Ledyakaya,2453,61.88805556,171.16750000
Demirkazik Tepe,3756,37.79750000,35.15916667
Mt. Tom White,3417,60.65194444,-143.69750000
Popomanaseu,2335,-9.70361111,160.06194444
Mt. Ulawun,2334,-5.05083333,151.33083333
Tahat,2908,23.28750000,5.52916667
Mt. Lister,4025,-78.06666667,162.68333333
Gunung Ophir,2912,0.07916667,99.98416667
Mt. Cooper,3094,50.18333333,-117.20000000
Sapitwa Peak,3002,-15.95000000,35.59083333
Mt. Gaudry,2315,-67.53333333,-68.61666667
Farallones de Cali,4050,3.34416667,-76.69583333
Mt. Taranaki,2518,-39.29583333,174.06500000
Wheeler Peak,3982,38.98583333,-114.31388889
Hotaka-dake,3190,36.28916667,137.64805556
Saser Kangri I,7672,34.86500000,77.75250000
Mt. Irving,2300,-61.28333333,-54.13333333
Sikaram Sar,4755,34.03833333,69.90250000
Pik Sat,5900,39.23583333,71.91083333
Asahi-dake,2290,43.66361111,142.85416667
Mt. Malindang,2404,8.21750000,123.63666667
Mt. Ulysses,3024,57.34638889,-124.09277778
Cerro Marahuaca,2832,3.66000000,-65.40666667
Haramosh,7406,35.84000000,74.89750000
Glacier Peak,3213,48.11194444,-121.11305556
Mt. Kabangama,4104,-6.06083333,144.61583333
Cerro Nevado,3810,-35.58083333,-68.49000000
Finsteraarhorn,4274,46.53722222,8.12611111
Farallones de Citara,4050,5.75916667,-76.06166667
Beerenberg,2277,71.08333333,-8.15000000
Kackar Dagi,3932,40.83666667,41.16333333
Monte Melimoyu,2440,-44.07583333,-72.86000000
Shir Kuh,4050,31.60583333,54.06833333
Dashennongjia,3100,31.44000000,110.30750000
Gora Chimtarga,5489,39.19583333,68.19583333
Mt. Kimball,3155,63.23861111,-144.64388889
Wildspitze,3768,46.88527778,10.86722222
Otgon Tenger Uul,4000,47.60833333,97.55250000
Bulu Kandela,2870,-1.29916667,121.54250000
Blue Mountain Peak,2256,18.04666667,-76.57916667
Doda Betta,2636,11.40250000,76.73750000
Monte Roraima,2723,5.20222222,-60.73527778
Wedge Mtn.,2892,50.13333333,-122.79333333
Cerro Calima,3840,4.06916667,-76.52416667
Otter Mtn.,2692,56.00666667,-129.69277778
Mt. Orohena,2241,-17.56666667,-149.46666667
Karun Kuh,6977,36.61000000,75.08083333
Kita-dake,3192,35.67416667,138.23666667
Nyainqêntanglha Feng,7162,30.36750000,90.58500000
P. 2390,2390,-43.29500000,-72.52583333
Piz Bernina,4049,46.38222222,9.90805556
Kawagebo,6740,28.43833333,98.68333333
Taibai Shan,3750,33.95500000,107.76333333
Kangze/gyai,5808,38.50000000,97.72500000
Pik Semionova Tien-Shanskogo,4895,42.50583333,74.58083333
Pik BAM,3072,56.86416667,117.57500000
Volcan Domuyo,4708,-36.63750000,-70.43250000
Monte Zeballos,2700,-47.03500000,-71.69833333
Mt. Kosciuszko,2228,-36.45583333,148.86472222
Vol. Nevado de Toluca,4690,19.10166667,-99.76750000
Ch/ok/e Terara,4100,10.71333333,37.84833333
Mt. Griggs,2332,58.35388889,-155.09500000
Kwatna Peak,2290,52.07000000,-126.95944444
Shikar Beh,6200,32.41750000,77.07083333
Huatou Jian,4750,28.72916667,102.37916667
Gunung Mekongga,2650,-3.66500000,121.23583333
Pegunungan Kobowre,3750,-3.87083333,135.87083333
Sepu Kangri,6956,30.90416667,93.78750000
Mt. Foraker,5304,62.96027778,-151.40027778
Zhupanovsky V.,2923,53.58833333,159.14833333
Outlook Peak,2210,79.74000000,-91.40000000
Nevado Coropuna,6405,-15.54583333,-72.66083333
Argun,3418,6.10583333,36.74250000
Cerro Champaqui,2770,-31.98750000,-64.93666667
Ngoc Linh,2598,15.06916667,107.97500000
Cordillera de Ansilta,5887,-31.62583333,-69.87666667
Milne Land HP,2200,70.78333333,-26.66666667
Kangtö,7060,27.86500000,92.53250000
Golden Hinde,2195,49.66666667,-125.75000000
